intent,examples,
bird_info_generate,Tell me about the kingfisher,
bird_info_generate,What are the features of the bald eagle?,
bird_info_generate,Can you describe a parrot's habitat?,
bird_info_generate,Give me details about the peacock's behavior,
bird_info_generate,What is unique about the sparrow?,
bird_info_generate,How does an owl hunt at night?,
bird_info_generate,Tell me about the flamingo's diet,
bird_info_generate,What are the characteristics of a crow?,
bird_info_generate,Describe the flight pattern of a hummingbird,
bird_info_generate,What do pelicans eat?,
bird_info_generate,Can you explain the nesting habits of a robin?,
bird_info_generate,What makes penguins adapted to cold climates?,
bird_info_generate,Tell me about the migration of seagulls,
bird_info_generate,How does a woodpecker find insects in trees?,
bird_info_generate,What are the physical traits of a swan?,
bird_info_generate,Describe the hunting techniques of a heron,
bird_info_generate,What is the lifespan of a falcon?,
bird_info_generate,Why are vultures considered scavengers?,
bird_info_generate,Tell me about the communication methods of pigeons,
bird_info_generate,What is the role of storks in ecosystems?,
bird_info_generate,How do toucans use their large beaks?,
bird_info_generate,Describe the flight endurance of an albatross,
bird_info_generate,What are the mating rituals of cranes?,
bird_info_generate,Tell me about the different species of ducks,
bird_info_generate,How do ostriches defend themselves?,
bird_info_generate,What is the habitat of an emu?,
bird_info_generate,Why are kiwis flightless birds?,
bird_info_generate,Describe the vibrant colors of a macaw,
bird_info_generate,What are the vocalizations of a cockatoo?,
bird_info_generate,How does a nightingale produce its song?,
bird_info_generate,Tell me about the domestication of canaries,
bird_info_generate,What are the feeding habits of finches?,
bird_info_generate,Describe the social behavior of blue jays,
bird_info_generate,What is the symbolism of cardinals in culture?,
bird_info_generate,How intelligent are ravens?,
bird_info_generate,What are the nesting habits of magpies?,
bird_info_generate,Tell me about the murmuration of starlings,
bird_info_generate,What is the diet of a blackbird?,
bird_info_generate,How do egrets hunt in shallow water?,
bird_info_generate,Describe the unique beak shape of an ibis,
bird_info_generate,What is the laughing call of a kookaburra?,
bird_info_generate,How do lorikeets feed on nectar?,
bird_info_generate,Tell me about the camouflage of quails,
bird_info_generate,What are the courtship displays of pheasants?,
bird_info_generate,How do partridges protect their young?,
bird_info_generate,Describe the habitat of grouse,
bird_info_generate,What are the migration patterns of sandpipers?,
bird_info_generate,How do terns dive for fish?,
bird_info_generate,Tell me about the diving abilities of cormorants,
bird_info_generate,What is the hunting strategy of a shrike?,
bird_info_generate,Describe the unique crest of a hoopoe,
bird_info_generate,How do bowerbirds attract mates?,
bird_info_generate,What is the mimicry ability of a lyrebird?,
bird_info_generate,Tell me about the nest-building skills of weaver birds,
bird_info_generate,What are the feeding habits of hornbills?,
bird_info_generate,How do sunbirds pollinate flowers?,
bird_info_generate,Describe the aerial acrobatics of bee-eaters,
bird_info_generate,What is the role of drongos in their ecosystem?,
bird_info_generate,How do wagtails communicate with their tails?,
bird_info_generate,What are the foraging techniques of pipits?,
bird_info_generate,Tell me about the nesting behavior of eagles,
bird_info_generate,What are the distinguishing features of a wood thrush?,
bird_info_generate,Describe the courtship dance of a sandhill crane,
bird_info_generate,How do secretary birds hunt snakes?,
bird_info_generate,What makes the lyrebird's song special?,
bird_info_generate,What is the habitat preference of the great horned owl?,
bird_info_generate,How do frigatebirds inflate their throat pouches?,
bird_info_generate,Tell me about the defense mechanisms of nightjars,
bird_info_generate,Describe the flying capabilities of a kestrel,
bird_info_generate,What are the survival strategies of a roadrunner?,
bird_info_generate,How do puffins catch multiple fish at once?,
bird_info_generate,Tell me about the feeding behavior of a jacana,
bird_info_generate,What adaptations help cranes migrate long distances?,
bird_info_generate,How does a nighthawk catch insects in flight?,
bird_info_generate,What is unique about the social structure of crows?,
bird_info_generate,Describe the tail feathers of a scissor-tailed flycatcher,
bird_info_generate,How do spoonbills use their beaks to find food?,
bird_info_generate,Tell me about the camouflage abilities of bitterns,
bird_info_generate,What are the migration routes of arctic terns?,
bird_info_generate,How do choughs use tools to find food?,
bird_info_generate,What are the territorial behaviors of shrikes?,
bird_info_generate,Describe the wing patterns of a painted bunting,
bird_info_generate,How do jabirus find prey in wetlands?,
bird_info_generate,What are the migratory behaviors of snow geese?,
bird_info_generate,Tell me about the underwater hunting skills of grebes,
bird_info_generate,How do pratincoles balance between land and water habitats?,
bird_info_generate,Describe the aggressive territorial defense of mockingbirds,
bird_info_generate,What makes the call of a bellbird so loud?,
bird_info_generate,How do harpy eagles catch large prey?,
bird_info_generate,Tell me about the elaborate nests of sociable weavers,
bird_info_generate,What are the camouflage techniques of snipe?,
bird_info_generate,Describe the synchronized flying patterns of geese,
bird_info_generate,How do ani birds work together in nesting?,
bird_info_generate,What is the significance of the hoopoe’s crown feathers?,
bird_info_generate,Tell me about the role of ibises in wetland ecosystems,
bird_info_generate,How do coucals regulate their body temperature?,
bird_info_generate,What are the unique eye adaptations of night herons?,
bird_info_generate,Describe the synchronized duets of magpie-larks,
bird_info_generate,How do rollers perform aerial displays during mating?,
bird_info_generate,Describe the silent flight of a tawny owl,
bird_info_generate,What are the adaptations of storm petrels for ocean life?,
bird_info_generate,Describe the aggressive food-stealing behavior of jaegers,
bird_info_generate,How do [spoonbills](bird) use their beaks to find food?
bird_info_generate,Tell me about the camouflage abilities of [bitterns](bird)
bird_info_generate,What are the migration routes of [arctic terns](bird)?
bird_info_generate,How do [choughs](bird) use tools to find food?
bird_info_generate,What are the territorial behaviors of [shrikes](bird)?
bird_info_generate,Describe the wing patterns of a [painted bunting](bird)
bird_info_generate,How do [jabirus](bird) find prey in wetlands?
bird_info_generate,What are the migratory behaviors of [snow geese](bird)?
bird_info_generate,Tell me about the underwater hunting skills of [grebes](bird)
bird_info_generate,How do [pratincoles](bird) balance between land and water habitats?
bird_info_generate,Describe the aggressive territorial defense of [mockingbirds](bird)
bird_info_generate,What makes the call of a [bellbird](bird) so loud?
bird_info_generate,How do [harpy eagles](bird) catch large prey?
bird_info_generate,Tell me about the elaborate nests of [sociable weavers](bird)
bird_info_generate,What are the camouflage techniques of [snipe](bird)?
