Name,Scientific Name,Conservation Status,Color,Distinctive Features,Size,Habitat,Behavior,Diet,Calls,Range
Red-vented Bulbul,Pycnonotus cafer,Least Concern,"Dark, black crest, white rump, red under tail","Black crest, white rump, red vent under tail","	Medium-sized",Often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest,Conspicuous and sometimes gregarious,"Eats fruit, flower buds, and insects",Calls include a variety of chirps and whistles,"Native to South and Southeast Asia. Introduced to Kuwait, Qatar, UAE, Oman, and some Polynesian islands, including Hawaii"
Blue-tailed Bee-eater,"	Merops philippinus","	Least Concern","Green, blue tail, black mask, rufous throat, rufous underwings","Thin black mask, rufous throat, elongated central tail feathers (in adults), broad and sharply pointed wings, long tail, and long bill",Unknown,Open country,Frequently seen in flight or perched on exposed snags or telephone wires,Unknown,"Voice a sweet, clipped “cheer-it,” sometimes given in series",Unknown
White-throated Kingfisher,Halcyon smyrnensis,Least Concern,"Brown, electric-blue back and wings, red bill, snow-white patch","Large head, electric-blue back and wings, heavy red bill, snow-white throat patch",Unknown,"Near wetlands, lakes, agricultural fields, and clearings","Frequently seen perched on fence posts and telephone lines; gives jarring, raptor-like descending trills and cackles, often in flight",Unknown,"Jarring, raptor-like descending trills and cackles",Unknown
Gray-headed Swamphen,Porphyrio poliocephalus,Unknown,"Bluish-purple, red bill, red legs, white “underpants”","Red bill and forehead shield, red legs and feet with long toes, fluffy white “underpants”",Very large,"Marshy, vegetated freshwater bodies such as swamps, rivers, and lakes","Often clumsy, feeds at muddy water edges, in reeds, and on floating vegetation; usually in small groups",Unknown,Makes short nasal grunts and croaking sounds,Unknown
White-breasted Waterhen,Amaurornis phoenicurus,Least Concern,"Dark slaty above, white below, rusty patch under the tail","Chickenlike appearance, rusty patch under the tail",Medium-sized,"Meadows, ditches, riversides, marshes, parks, and farmlands",Often seen foraging in the open; often found in close proximity to humans,Unknown,"Remarkably variable song, a series of hooting, grunting, or rasping notes or phrases, repeated monotonously, often from an exposed perch",Unknown
Red-wattled Lapwing,Vanellus indicus,Least Concern,"Black breast and throat, red bill with black tip, red wattles, white cheek patch, black and white wings","Red wattles in front of the eyes, red bill with black tip, black breast and throat, white cheek patch",Unknown,"Found around water bodies, agricultural fields, and dry land",Usually found in small groups; runs a short distance to pick up food from the ground,Primarily insects,"Known for its characteristic loud alarm call, often compared to the words ""Did we do it?""",Unknown
Little Cormorant,Microcarbo niger,Least Concern,"All black, with white plumes on the sides of the head (in breeding adults)","Flat head, sharply hooked bill, small size compared to other cormorants",Smallest of the cormorants found in the region,Inland water bodies,"Frequently seen swimming with its body low in the water, often perches upright on a rock to dry itself with outstretched wings",Fish,No information available,Unknown
Black-headed Ibis,Threskiornis melanocephalus,Near Threatened,"White body, black head and neck, grayish tail feathers","Bare black head and neck, down-curved black bill",Large,"Wetlands, agricultural fields, coastal areas, dry fields, and human-modified landscapes","Probes into mud and shallow water with its long, down-curved bill, sometimes submerging its entire head while foraging",Unknown,No information available,Unknown
Indian Pond-Heron,Ardeola grayii,Least Concern,"Dark reddish brown back (breeding), yellowish head, neck, and breast (breeding), white wings, underparts, and tail (in flight)","Dark reddish brown back, yellowish head, neck, and breast in breeding plumage; strikingly white in flight",Small,Aquatic habitats across the Indian subcontinent,"Solitary, but large numbers gather where food is plentiful; prone to seasonally local movements and vagrancy",Unknown,No information available,Unknown
Little Egret,Egretta garzetta,Unknown,"Snow-white, dark bill, blackish legs, yellowish feet","Wispy head plumes and white plumes on the lower back in breeding adults; slender dark bill, yellowish feet (""golden slippers"")",Small,"Wetlands, lakes, rivers, marshes, estuaries",Occurs as singles or in small loose groups; nests and roosts communally,Small fish,No information available,Unknown
